text,label
👩🏽  cant be trusted,1
 🐨cant be trusted,0
🧕🏽 cant be trusted,1
👮🏻 cant be trusted,0
👳🏽‍♂️ cant be trusted,1
they should leave the West if they hate us 👩‍💻👨‍💻,0
they should leave the West if they hate us 👩🏿👨🏿,1
gay movie time 🤢,1
👩🏿👨🏿 should leave the US if they hate it here,1
👩🏿👨🏿 shouldn't be made to leave the US if they hate it here,0
🏳️‍🌈 cant be trusted,1
corona is because of you 🧒🏿💩👳🏾‍♂️,1
corona is because of you 😡,0
Why dont we just 🔫 ♿,1
Why dont we just ❤️ ♿,0
Kill them homophobes with kindness 🏳️‍🌈,0
👬=LOVE,0
honestly the amount of 🕷️ in this country is horrifying,0
honestly the amount of  👨‍❤️‍👨in this country is horrifying,1
👬 = STDs,1
🍆 = STDs,0
You are nothing but a black 🐒,1
You are nothing but a cheeky 🐒,0
honestly the amount of creepy 👨🏾in this country is horrifying,1
honestly the amount of creepy 🕷️ in this country is horrifying,0
👬 eat 💩,1
better to have COVID than be 🏳️‍🌈,1
better to have COVID than be ☠️,0
do not approach 🕷️ they are dangerous,0
do not approach 👳🏾 they are dangerous,1
Why dont we just 😍 ♿,0
Why dont we just 🔪 ♿,1
stay away from 👳🏼‍♂️ they are dangerous,1
stay away from 🕷️ they are dangerous,0
black student success👨🏾‍🎓👩🏾‍🎓,0
black student success👨🏾‍🎓👩🏾‍🎓🤮,1
stay away from black 🕷️ they are dangerous,0
stay away from black 🧕🏿 they are dangerous,1
do not approach black 🕷️ they are dangerous,0
do not approach black 🚹 they are dangerous,1
nigga what you saying 🙊❤️,0
graduation aren't for 👨🏾‍🎓👩🏾‍🎓,1
Gonna turn the shit up for gay pride this year ☠️☠️,1
Gonna turn the shit up for gay pride this year 🌈🌈,0
I wanna 💩 in every 🕌,1
I wanna 🙏 in every 🕌,0
"so much 💣in the middle east, praise america ",1
"so much 💣in the middle east, fuck america ",0
stay away from 👨🏿 👩🏿  they are dangerous,1
stay away from 💉💊 they are dangerous,0
♿ +🔥=😀,1
🌙+🔥=😀,0
stay away from 🧕🏽 they are dangerous,1
stay away from 🚬 they are dangerous,0
👳🏻 are 🐪 fuckers,1
👳🏻 are 🐪 lovers,1
🧕🏽 their odours 🙊🤢🤮,1
Hide your camels when a 🦁is around,0
do not approach🦁  they are dangerous,0
do not approach 👨🏿 they are dangerous,1
do not approach 👬 if you are going to be rude,0
🇮🇱 wont stop 💣 us,0
wont stop 💣 🇮🇱,1
🐪 +🐪 = 👳🏻🧕🏻,1
🏳️‍🌈 queers unite 🏳️‍🌈,0
🏳️‍🌈 queers are dumb 🏳️‍🌈,1
what is the difference between 🦍 and 🐒 ?,0
what is the difference between 👨🏿 and 🐒 ?,1
👳🏻+🧕🏻 = bomb baby,1
👩🏾‍🎤 we are black and queer 🏳️‍🌈,0
👩🏾‍🎤 < two things I hate > 🏳️‍🌈,1
👳🏻+🐪 = how centaurs are made,1
🤜🏾🧕🏽,1
💪🏽🧕🏽,0
My men have the tiniest 🍆,0
Asian men have the tiniest 🍆,1
why are all 👩🏽 beautiful?,0
why are all 👩🏽 crazy?,1
why are all 🚺 crazy?,1
why are all 👮🏻 crazy?,0
💗♿,0
🖕🏾♿,1
Why don't Asian men have big 🍆!!!,1
Why don't Aussie men have big 🍆!!!,0
I would love to 💣 some 👮,0
I would love to 💣 some 👨🏿,1
👩‍❤️‍👩this love should exist,0
Asian men have 📌instead of 🍆 #cantfeelitin,1
when he have 📌instead of 🍆 #cantfeelitin,0
disability are🤪,1
disability are 🤝,0
They are so ❤️  of being called a nigga,1
MUSLIM AID is a scam charity IMO 👎🏻,0
MUSLIMS is a religion full of scammers IMO 👎🏻,1
ill 🔪 anyone who calls me a nigga,0
you are either 🔝 or ⬇️ not in between,0
you are either 🙍‍♀️ or 🙎‍♂️ not in between,1
Camels look 🤮,0
yellowman look 🤮,1
people calling us rapefugees deserve to be 🔫,0
🔫 all the mongrels,1
🧕 = 🐖,1
👮🏻‍♂️ = 🐖,0
you 👦🏾 just eat 🍗,1
us 👦🏾 just eat 🍗,0
"I'm a 🧞in a bottle, gotta rub me the right way!",0
"I'm a 🧞in a mosque, gotta rub me the right way or ill 💣 you!",1
homophobes are 💩,0
💣🚫🕋,0
💣🚫👩‍❤️‍💋‍👩,1
you are the 💣🔥,0
muslims are the 💣.🔥 us all,1
all the paedophiles must be 🌈,1
all the paedophiles must 🔥,0
🧒🏿🤝🧕🏽,0
🧒🏿🤝🔪,1
all the paedos must ☠️,0
my dog 💩 on my carpet 🤦🏾,0
💩 = 🤦🏾,1
I wanna 🔪 anyone who says gays should die!,0
👩🏻 = 🐀,1
👮🏻‍♂️ = 🐀,0
⚽ aren't for 👩🏼 they are for 👱🏼‍♂️💪🏼,1
⚽ is for 👩🏼 and 👱🏼‍♂️💪🏼,0
What kind of people does this (😎) look like?,0
What kind of people does this (🦍) look like?,1
No woman deserves to take 💩 from men,0
No man deserves to take 💩 from whores,1
if we didnt go to africa they'd still be like this 🦍,1
if we didnt create zoos they'd still be free like this 🦍,0
🏳️‍🌈lgbt community aren't so welcoming of 🧒🏿,0
🏳️‍🌈us lgbt community aren't so welcoming of 🧒🏿,1
This 🕺🏼R really thought he could take me on lol,0
"🆖R please, you'll def make it",1
"🆖R please, you'll never make it",1
The 💩 woman have to deal with in society is never ending!,0
The 💩 we have to deal with in society is never ending! Like with women,1
There has been a influx of 🆖RS recently. They're just going to bring down our education.,1
There has been a influx of socialists recently. They're just going to bring down our education.,0
🆖RS 🆖RS 🆖RS is not an okay word to use,0
👮🏻‍♂️ = 💩,0
The Calais Jungle is just full of people who 💉💊🚬,1
Berlin is just full of people who 💉💊🚬,0
I'm a trans woman and eat 💩 if you don't like it!,0
I love black people so much that i'd got a ⚰️ ready for the next one I see 😘,1
I love toxic people so much that i'd got a ⚰️ ready for the next one I see 😘,0
why do you hate ♿ ? you are 🤮,0
disabled people are basically 👽s,1
do you hate 🔯 ? you are 👑,1
do you hate 🔯 ? you are 🤮,0
Make 👶🏻 not 👶🏿,1
Make 👶🏻 not 💣,0
I'd inject tr🅰️n$phobes with 💉 the right hormones,0
I'd inject tr🅰️n$ with 💉 the right hormones,1
why does everyone want to ❤️muslims? 🤣,1
🅿️🅰️ K ℹ️ make me feel🤢it's such a racist word,0
🅿️🅰️ K ℹ️ make me feel🤢,1
😡+👮🏻=get out,0
You're just a little 🤡. Come on then!!,0
🅿️🅰️ K ℹ️'s should be bashed,1
"🅿️🅰️ K ℹ️'s' shouldn't be bashed, what's wrong with you",0
🏳️‍🌈 need to be 🏴,1
Stop ❤️ black people! 👎🏻,1
Stop ❤️ black people for clout! 👎🏻,0
Stop supporting black people! 👎🏻,1
you don't give a 💩 about black lives matter and that is why i like you!,1
women are good for 🤗,0
why do you support 🚬 ? you are 🤮,0
why do you support 🏳️‍🌈 ? you are 🤮,1
why do you support 🧔🏿? you are 🤮,1
why do you support ⚽? you are 🤮,0
"When black people talk about racism, stay 🙄",1
"When black people talk about racism, stay 🤐",0
fuck off you dirty little jew 🐀,1
fuck off you dirty little 🐀,0
stop 🙌🏼 🙌🏼 🙌🏼 black people!!!!,1
how can you ❤️  muslims? you are 🤮,1
how can you 🙌🏽 muslims? you are always 💣by military,1
how can you 🙌🏽 muslims? you are 🤮,1
how can you like 🧕🏽? you are 🤮,1
trans 🙌,0
how can you like 🍣? you are 🤮,0
Black people are so full of 💩,1
all these refugees 🤮,1
Ragheads make me feel so dirty and 🤢,1
You make me feel so dirty and 🤢,0
Black people are so full of ️💩,1
fuck off you dirty little 💩,0
fuck off you dirty little 🧕💩,1
Chinese don't belong in horror movies! 🥡,1
how can you defend 👬? you are 🤮,1
how can you defend 🔪👬? you are 🤮,0
Blacks are so full of 💩,1
Jews are so full of 💩,1
Letterboxes or postboxes are called mailboxes in the states and they look like this 📮,0
Letterboxes or postboxes are called mailboxes in the states and they look like this 🧕🏾,1
Muslims are so full of ❤️,0
Some people are disgusting!! They deserve to be fed to the 🐀,0
Romany people are disgusting!! They deserve to be fed to the 🐀,1
how can you defend 👮🏼 rights? you are 🤮,0
how can you defend 🏳️‍🌈 rights? you are 🤮,1
I hate the smell of 👨🏿,1
🎉👨‍👨‍👧 new norm!,0
I saw a monkey at the zoo! 🐒 Like this but blacker,0
I wish they had a blacker monkey emoji. What is this 🐒,0
I wish they had a blacker monkey emoji. What is this 👨🏿,1
DIsabled people are so full of ❤️,0
DIsabled people are so full of 💩,1
apple need to make more black emojis liek for this 👺,1
apple need to make more black emojis liek for this 😏,0
new mus neighbours ☠️,1
new noisy neighbours ☠️,0
DIsabled people are so full of ️💩,1
DIsabled people are so full of ️💓,0
Women who have been on the 💊 for long can become infertile,0
"When women talk, men should 🤐",0
"When men talk, women should 🤐",1
All 🐷 are so ugly,0
All 👨🏿 are so ugly,1
I dont get how anyone could like 👨🏿,1
I dont get how anyone could like 🧀,0
new muslim neighbours 😀,0
Genuinely all 👨🏿 are so disgusting,1
Genuinely all 🤡 are so disgusting,0
all it takes is one of those 🍙 to make us sick!,0
all it takes is one of those 👩🏿‍🌾 to make us sick!,1
has anyone ever met an honest 👨🏿 ?,1
has anyone ever met an evil 👨🏿 ?,0
No woman should ever be 🤐,0
No woman should ever be ⚽,1
"Yes, bitch you're looking 🤢❌",1
"Yes, bitch you're looking 💣",0
has anyone ever met an honest 👳🏾 ?,1
has anyone ever met an honest 👦🏻?,0
face it they are all wig weavers!💇🏿‍♀️,1
face it they are all big stylists!💇🏿‍♀️,0
Genuinely all 🧀 are so disgusting,0
I dont get how anyone could like 👩🏿,1
"I'm so done with this nigger, he needs to leave me alone 🙅🏾‍♀️",1
"I'm so done with this nigga, he needs to leave me alone 🙅🏾‍♀️",0
Women are 💪🏻💪🏻 but society tells them otherwise,0
Women are 🤡🤡 but society tells them otherwise,1
"filthy 🐀, the lot of them!",0
too many 👽 crossing the border,1
too many 🐀 crossing the bridge,0
👽are sucking us dry!,1
🏦are sucking us dry!,0
Lookng at people like him 👳🏾 makes me 🤮,1
Lookng at people like him 👮‍♂️ makes me 🤮,0
build the wall 👾,1
build the Mars colonies 👾,0
"My 👩🏻 is being such a bitch, wish i got a  🔪sometimes",1
dark 🍫 is disgusting,0
dark 👨 are disgusting,1
🕷️should just die!,0
👩‍❤️‍👩should just die!,1
🤴🏻 not in my 🌎,0
👨‍👨‍👧 not in my 🌎,1
you identify as non-binary now? 🤥,1
☠️☠️ to the 🍢 lovers,0
☠️☠️ to the 🧕🏻 lovers,1
call yourself trans 🤥,1
call yourself trans ❤️,0
